iter	RMSE
0	109.1196835
1	97.52092902
2	87.27653609
3	78.12812053
4	70.20457266
5	63.13650759
6	56.87019261
7	51.34303274
8	46.3492382
9	42.05729717
10	38.13586842
11	34.68850152
12	31.71603401
13	29.0702287
14	26.78862991
15	24.80257763
16	23.07574229
17	21.59692879
18	20.33115938
19	19.28133853
20	18.33591034
21	17.56977726
22	16.91860413
23	16.3326858
24	15.8644767
25	15.44868878
26	15.1040754
27	14.78866408
28	14.52647401
29	14.29681145
30	14.10056184
31	13.9299512
32	13.77297919
33	13.64283905
34	13.51520968
35	13.38916864
36	13.30093836
37	13.21936564
38	13.13699073
39	13.07663754
40	12.99795076
41	12.94158425
42	12.88308487
43	12.84104978
44	12.78884991
45	12.73586332
46	12.70074923
47	12.64774754
48	12.61714462
49	12.55970022
50	12.51151422
51	12.47856963
52	12.44373456
53	12.40311188
54	12.3751138
55	12.33557106
56	12.30510542
57	12.2844788
58	12.26251346
59	12.23010065
60	12.20010206
61	12.17510677
62	12.14496583
63	12.12061431
64	12.0936114
65	12.07436593
66	12.05001934
67	12.03019545
68	12.00661917
69	11.98596817
70	11.96553782
71	11.94790299
72	11.92635138
73	11.91280317
74	11.89036854
75	11.87547343
76	11.85819465
77	11.84472838
78	11.83068397
79	11.81329076
80	11.79367167
81	11.77746603
82	11.76200679
83	11.74933795
84	11.72710743
85	11.71340367
86	11.70005934
87	11.6891456
88	11.67777581
89	11.66206385
90	11.65071208
91	11.63561222
92	11.61865278
93	11.60298249
94	11.58854046
95	11.57624178
96	11.56507019
97	11.5548549
98	11.54741128
99	11.53619963
100	11.52614423
101	11.51140951
102	11.50026743
103	11.48842243
104	11.47621719
105	11.46633432
106	11.45246865
107	11.44338249
108	11.43020548
109	11.41750623
110	11.40889448
111	11.39834689
112	11.38615587
113	11.37743198
114	11.36720072
115	11.35711739
116	11.3474774
117	11.33887048
118	11.33025864
119	11.32229192
120	11.31223514
121	11.30339673
122	11.29405758
123	11.28467875
124	11.27823149
125	11.27000445
126	11.26195998
127	11.25575488
128	11.24945256
129	11.24134624
130	11.23316266
131	11.22401466
132	11.21688171
133	11.2092397
134	11.20201322
135	11.19497394
136	11.18685099
137	11.18139174
138	11.17306807
139	11.1632143
140	11.15813947
141	11.14865875
142	11.14167166
143	11.135777
144	11.1276765
145	11.11830606
146	11.11006213
147	11.1035014
148	11.09729891
149	11.0885466
150	11.08070928
151	11.07457157
152	11.06864817
153	11.06338648
154	11.05666623
155	11.05195551
156	11.04630228
157	11.04125916
158	11.03591814
159	11.02879767
160	11.02467681
161	11.01860297
162	11.00931246
163	11.00243421
164	10.99803908
165	10.99150868
166	10.98496543
167	10.97921461
168	10.97415122
169	10.96770186
170	10.96175135
171	10.95704437
172	10.95344622
173	10.94833761
174	10.94328225
175	10.93703873
176	10.92847851
177	10.92207687
178	10.91658626
179	10.9116853
180	10.90586576
181	10.90083466
182	10.89638497
183	10.89204721
184	10.88840946
185	10.88319228
186	10.87830235
187	10.87130952
188	10.86588168
189	10.86236537
190	10.85595827
191	10.85070994
192	10.84747878
193	10.84101218
194	10.83604313
195	10.83098388
196	10.82682293
197	10.8205964
198	10.81567986
199	10.81110043
200	10.80599688
201	10.80031138
202	10.79526909
203	10.79111834
204	10.78678852
205	10.78297904
206	10.77762759
207	10.77418863
208	10.76942593
209	10.7616598
210	10.75727165
211	10.75387595
212	10.74992295
213	10.74271609
214	10.73741334
215	10.73334747
216	10.72889002
217	10.72561418
218	10.72094069
219	10.71674179
220	10.71107412
221	10.70750424
222	10.70284423
223	10.69822376
224	10.69346828
225	10.69099293
226	10.68665347
227	10.68259229
228	10.67708897
229	10.67363027
230	10.66730678
231	10.66360434
232	10.66100839
233	10.65667942
234	10.65363523
235	10.64603179
236	10.64181875
237	10.63781054
238	10.63394454
239	10.62935266
240	10.62493098
241	10.61953425
242	10.61481131
243	10.61040075
244	10.6071053
245	10.60365539
246	10.60103207
247	10.5963373
248	10.59388814
249	10.59043522
250	10.58662576
251	10.58272204
252	10.57308617
253	10.56961321
254	10.56575711
255	10.56336176
256	10.5604826
257	10.55817461
258	10.55572768
259	10.55074723
260	10.54876911
261	10.54491764
262	10.54133691
263	10.53767681
264	10.53438321
265	10.53037406
266	10.52753225
267	10.52385855
268	10.52033222
269	10.51788257
270	10.51297504
271	10.50912584
272	10.50481337
273	10.50228739
274	10.49855343
275	10.49560793
276	10.49232438
277	10.4896459
278	10.48504072
279	10.48271805
280	10.47885111
281	10.47576225
282	10.47119609
283	10.46775312
284	10.46403151
285	10.45872349
286	10.4561647
287	10.45215413
288	10.44932241
289	10.44540422
290	10.44218196
291	10.43810091
292	10.43403278
293	10.43174508
294	10.42809948
295	10.42507632
296	10.42219252
297	10.41967365
298	10.41571122
299	10.41233082
300	10.40881159
301	10.40521944
302	10.40195981
303	10.39840313
304	10.39522285
305	10.39035404
306	10.38792924
307	10.38471455
308	10.38214015
309	10.3787723
310	10.37597357
311	10.37295667
312	10.3701844
313	10.36784287
314	10.36537632
315	10.36126965
316	10.35856242
317	10.3552782
318	10.35045201
319	10.34715991
320	10.34382248
321	10.34002256
322	10.33781362
323	10.33412937
324	10.33155964
325	10.32777549
326	10.32347968
327	10.32066789
328	10.31709104
329	10.31412292
330	10.31018824
331	10.30659331
332	10.30288307
333	10.30064156
334	10.29814456
335	10.2959621
336	10.29193769
337	10.28983784
338	10.28759456
339	10.2836775
340	10.27965904
341	10.27679643
342	10.27354678
343	10.26972288
344	10.26711662
345	10.26410793
346	10.26176789
347	10.25792077
348	10.25517555
349	10.25246895
350	10.25088077
351	10.24902138
352	10.24541424
353	10.24170285
354	10.23973916
355	10.23739467
356	10.23457802
357	10.23222794
358	10.22990476
359	10.22601856
360	10.22078316
361	10.21542089
362	10.21163299
363	10.20946983
364	10.20672963
365	10.20453346
366	10.20251981
367	10.19966402
368	10.19752992
369	10.19502672
370	10.19293392
371	10.1919429
372	10.18884624
373	10.1854019
374	10.18392846
375	10.18122678
376	10.17947507
377	10.1756083
378	10.17113349
379	10.16856517
380	10.16413044
381	10.16121659
382	10.15885267
383	10.1564456
384	10.15402867
385	10.15206971
386	10.15057957
387	10.14640007
388	10.1411582
389	10.13873058
390	10.13725408
391	10.13402876
392	10.13127685
393	10.12874443
394	10.1265437
395	10.12236471
396	10.11964387
397	10.11721534
398	10.11602733
399	10.11389889
400	10.11189405
401	10.10979915
402	10.10810018
403	10.10661545
404	10.10502458
405	10.10184706
406	10.0999536
407	10.09817977
408	10.094936
409	10.09213293
410	10.08881683
411	10.08577634
412	10.08308997
413	10.08081102
414	10.07899025
415	10.07491968
416	10.07249282
417	10.07009156
418	10.06727899
419	10.06357339
420	10.0600526
421	10.05631579
422	10.05364035
423	10.04980671
424	10.04761778
425	10.04441057
426	10.04248137
427	10.03814427
428	10.0359697
429	10.03299765
430	10.03145067
431	10.02750661
432	10.02497333
433	10.0231624
434	10.02054483
435	10.01826761
436	10.01668599
437	10.01518111
438	10.01288098
439	10.01102743
440	10.00681056
441	10.00322693
442	10.00171
443	9.998950823
444	9.996023901
445	9.993751666
446	9.991021861
447	9.989266856
448	9.98718955
449	9.985792084
450	9.982909385
451	9.97893397
452	9.977701073
453	9.975192432
454	9.974543546
455	9.97197558
456	9.969118526
457	9.967573631
458	9.965671569
459	9.963613109
460	9.960988765
461	9.959292085
462	9.957351855
463	9.955351447
464	9.95261555
465	9.950853713
466	9.948608546
467	9.946039268
468	9.94255951
469	9.941127107
470	9.937975339
471	9.936284017
472	9.933796041
473	9.931471051
474	9.929392321
475	9.926671317
476	9.925014874
477	9.922442611
478	9.921195158
479	9.918407702
480	9.915756547
481	9.913756225
482	9.911208094
483	9.909746455
484	9.908241143
485	9.904732537
486	9.90236828
487	9.90070418
488	9.898710499
489	9.896928047
490	9.895946021
491	9.893346064
492	9.891474691
493	9.88778134
494	9.884700539
495	9.881320868
496	9.878076467
497	9.877223817
498	9.875389004
499	9.872417382
500	9.868517325
501	9.865997217
502	9.863295696
503	9.860544098
504	9.857929556
505	9.854828999
506	9.852310068
507	9.849728346
508	9.84638479
509	9.84472558
510	9.842661364
511	9.84141285
512	9.839574661
513	9.836325646
514	9.834365054
515	9.8304569
516	9.829536952
517	9.827974541
518	9.823777195
519	9.822236096
520	9.82051542
521	9.818414219
522	9.815699093
523	9.813191594
524	9.811279953
525	9.808549412
526	9.805394364
527	9.802849003
528	9.801076339
529	9.797940125
530	9.796150334
531	9.793506308
532	9.79124582
533	9.789619035
534	9.786881771
535	9.783768198
536	9.781780388
537	9.780004319
538	9.777299142
539	9.773994807
540	9.770880264
541	9.769359
542	9.76753968
543	9.765677507
544	9.764140775
545	9.761896801
546	9.759435415
547	9.756004677
548	9.753936217
549	9.75258826
550	9.751097014
551	9.748872155
552	9.746996249
553	9.745978801
554	9.743429599
555	9.7414312
556	9.739669516
557	9.737069941
558	9.735029112
559	9.733379653
560	9.730075744
561	9.72729929
562	9.72523366
563	9.72268566
564	9.720847337
565	9.719455853
566	9.71586821
567	9.714552149
568	9.711750669
569	9.710412703
570	9.70782768
571	9.705889896
572	9.705490688
573	9.702572799
574	9.700134395
575	9.697703069
576	9.696733045
577	9.694462204
578	9.692116863
579	9.689482978
580	9.686493844
581	9.684267451
582	9.682366011
583	9.680478238
584	9.677667072
585	9.676576442
586	9.673715551
587	9.67054117
588	9.668977889
589	9.667358019
590	9.666199118
591	9.663493768
592	9.662331473
593	9.660823302
594	9.659877918
595	9.658269931
596	9.656231746
597	9.655050259
598	9.652443922
599	9.649787738
